"Data","Descrição","Categoria","Parcelas","Crédito","Débito","FOP","Situação"
"03/01/2022","VIVO Banda Larga","Air BNB","Mensal"," -","56,95","CCorrente Santander","Pago"
"03/01/2022","VIVO Banda Larga","Internet","Mensal"," -","56,95","CCorrente Santander","Pago"
"03/01/2022","IOF","Impostos","Mensal"," -","13,9","CCorrente Santander","Pago"
"03/01/2022","IOF","Impostos","Mensal"," -","2,46","CCorrente Santander","Pago"
"03/01/2022","Kabecos","Alimentação"," -"," -","53,5","CCorrente Santander","Pago"
"03/01/2022","I-Food","Alimentação"," -"," -","34,9","CCorrente Santander","Pago"
"03/01/2022","Ronaldo","Outros"," -"," -","170","CCorrente Santander","Pago"
"04/01/2022","Help","Vestuário","2/4"," -","97,42","CCredito Nubank","Pago"
"04/01/2022","Muller Eletico ","Air BNB","8/10"," -","122,9","CCredito Nubank","Pago"
"04/01/2022","Parcelamento Nubank","Dívidas","9/12"," -","478,06","CCredito Nubank","Pago"
"04/01/2022","Carone","Alimentação","2/2"," -","206,55","CCredito Nubank","Pago"
"04/01/2022","Tok Stok","Móveis","7/10"," -","65","CCredito Nubank","Pago"
"04/01/2022","Otica Londres","Cuidados Pessoais","10/10"," -","44,9","CCredito Nubank","Pago"
"04/01/2022","Amazon","Eletrodomésticos","7/10"," -","33,03","CCredito Nubank","Pago"
"04/01/2022","Oticas Diniz","Cuidados Pessoais","3/10"," -","113","CCredito Nubank","Pago"
"04/01/2022","Amazon","Air BNB","10/10"," -","39,9","CCredito Nubank","Pago"
"04/01/2022","99 Taxi","Transporte"," -"," -","154,69","CCredito Nubank","Pago"
"04/01/2022","Spotfy","Assinatura","Mensal"," -","19,9","CCredito Nubank","Pago"
"04/01/2022","Vacina","Saúde"," -"," -","95","CCredito Nubank","Pago"
"04/01/2022","Vestuário","Cuidados Pessoais"," -"," -","65,6","CCredito Nubank","Pago"
"04/01/2022","Globo Play","Assinatura","Mensal"," -","22,9","CCredito Nubank","Pago"
"04/01/2022","Diversos","Diversos"," -"," -","49,4","CCredito Nubank","Pago"
"04/01/2022","Depilare","Cuidados Pessoais"," -"," -","168","CCredito Nubank","Pago"
"04/01/2022","Padaria","Alimentação"," -"," -","6,19","CCredito Nubank","Pago"
"04/01/2022","Farmácia","Saúde"," -"," -","17,5","CCredito Nubank","Pago"
"04/01/2022","Recarga","Celular"," -"," -","40","CCredito Nubank","Pago"
"04/01/2022","Google","Assinatura","Mensal"," -","6,99","CCredito Nubank","Pago"
"04/01/2022","Insider","Vestuário","1/3"," -","91","CCredito Nubank","Pago"
"04/01/2022","Celular Ruy","Presente","1/6"," -","111,5","CCredito Nubank","Pago"
"04/01/2022","Pedro","Air BNB"," -","3000"," -","CCorrente Santander","Pago"
"05/01/2022","Escelsa ","Air BNB","Mensal"," -","163,49","CCorrente Santander","Pago"
"05/01/2022","Escelsa ","Energia","Mensal"," -","163,49","CCorrente Santander","Pago"
"05/01/2022","CVC Corp ","Salário"," -","3985,76"," - ","CCorrente Santander","Pago"
"10/01/2022","Edf Maison Rio Branco","Condomínio","Mensal"," -","271,46","CCorrente Santander","Pago"
"10/01/2022","Santander","Dívidas","10/45","","602","CCorrente Santander","Pago"
"10/01/2022","Edf Maison Rio Branco","Air BNB","Mensal"," -","271,46","CCorrente Santander","Pago"
"10/01/2022","Vivo Fibra","Assinatura","Mensal"," -","56,99","CCorrente Santander","Pago"
"10/01/2022","Viva Fibra","Air BNB","Mensal"," -","56,99","CCorrente Santander","Pago"
"10/01/2022","Estima Dog","Felinos"," -"," -","164,6","CCorrente Santander","Pago"
"10/01/2022","Ronaldo","Outros"," -"," -","300","CCorrente Santander","Pago"
"12/01/2022","Aparecida","Faxina"," -"," -","210","CCorrente Santander","Pago"
"13/01/2022","Marly Sanglard","Dívidas","14/15"," -","500","CCorrente Santander","Pago"
"13/01/2022","Kabecos","Alimentação"," -"," -","38","CCorrente Santander","Pago"
"14/01/2022","Vivo Gabriel","Celular","Mensal"," -","50,99","CCorrente Santander","Pago"
"14/01/2022","Mercadinho","Alimentação"," -"," -","17,95","CCorrente Santander","Pago"
"17/01/2022","Vivo Pedro","Pedro","Mensal"," -","38,44","CCorrente Santander","Pago"
"17/01/2022","Vivo Priscilla","Celular","Mensal"," -","38,44","CCorrente Santander","Pago"
"19/01/2022","Santander","Seguro","9/12"," -","108,26","CCorrente Santander","Pago"
"20/01/2022","Banco Original","Dívidas","1/24"," -","584,68","CCorrente Santander","Pago"
"20/01/2022","CVC Corp ","Salário"," -","1385,04"," -","CCorrente Santander","Pago"
"20/01/2022","Santander","Juros"," -"," -","41,13","CCorrente Santander","Pago"
"25/01/2022","Gugu","Outros"," -"," -","240","CCorrente Santander","Pago"
"25/01/2022","Wester Union","Jade","- "," -","401,52","CCorrente Santander","Pago"
"01/02/2022","IOF","Impostos"," -"," -","4,88","CCorrente Santander","Pago"
"01/02/2022","Dietética","Alimentação"," -"," -","728","CCorrente Santander","Pago"
"02/02/2022","Vivo Gabriel","Celular","Mensal"," -","54,99","CCorrente Santander","Pago"
"03/02/2022","Aparecida","Faxina"," -"," -","70","CCorrente Santander","Pago"
"04/02/2022","CVC Corp ","Salário"," -","3023,8"," -","CCorrente Santander","Pago"
"04/02/2022","Santander	","Dívidas","11/45","","602","CCorrente Santander","Pago"
"04/02/2022","Muller Eletico ","Air BNB","9/10"," -","122,9","CCorrente Santander","Pago"
"04/02/2022","Tok Stok","Móveis","8/10"," -","65","CCredito Nubank","Pago"
"04/02/2022","Amazon","Eletrodomésticos","8/10"," -","33,03","CCredito Nubank","Pago"
"04/02/2022","Oticas Diniz","Cuidados Pessoais","4/10"," -","113","CCredito Nubank","Pago"
"04/02/2022","Spotfy","Assinatura","Mensal"," -","19,9","CCredito Nubank","Pago"
"04/02/2022","Globo Play","Assinatura","Mensal"," -","22,9","CCredito Nubank","Pago"
"04/02/2022","Google","Assinatura","Mensal"," -","6,99","CCredito Nubank","Pago"
"04/02/2022","Help","Vestuário","3/4"," -","97,42","CCredito Nubank","Pago"
"04/02/2022","Celular Ruy","Presente","2/6"," -","111,5","CCredito Nubank","Pago"
"04/02/2022","Carone","Alimentação","2/2 "," -","76,93","CCredito Nubank","Pago"
"04/02/2022","Insider","Vestuário","2/3"," -","91","CCredito Nubank","Pago"
"04/02/2022","Epa Supermercado","Alimentação"," -"," -","34,26","CCredito Nubank","Pago"
"04/02/2022","Estima Dog","Felinos"," -"," -","59,9","CCredito Nubank","Pago"
"04/02/2022","Sodiê","Alimentação"," -"," -","19,5","CCredito Nubank","Pago"
"04/02/2022","99 Taxi","Transporte"," -"," -","58,45","CCredito Nubank","Pago"
"04/02/2022","Loja ","vestuário","1/3"," -","63,78","CCredito Nubank","Pago"
"04/02/2022","Banca ","Outros"," -"," -","20","CCredito Nubank","Pago"
"07/02/2022","Escelsa ","Air BNB","Mensal"," -","396,22","CCorrente Santander","Pago"
"07/02/2022","Escelsa ","Energia","Mensal"," -","200","CCorrente Santander","Pago"
"07/02/2022","Edf Maison Rio Branco","Condomínio","Mensal"," -","245,46","CCorrente Santander","Pago"
"07/02/2022","Edf Maison Rio Branco","Air BNB","Mensal"," -","245,46","CCorrente Santander","Pago"
"08/02/2022","VIVO Banda Larga","Air BNB","Mensal"," -","56,95","CCorrente Santander","Pago"
"08/02/2022","VIVO Banda Larga","Internet","Mensal"," -","56,95","CCorrente Santander","Pago"
"10/02/2022","EStima Dog","Felinos"," -"," -","59,9","CCorrente Santander","Pago"
"14/02/2022","Aparecida","Faxina"," -"," -","120","CCorrente Santander","Pago"
"15/02/2022","Armarinho laranjeiras","Clé Concept"," -"," -","82,5","CCorrente Santander","Pago"
"17/02/2022","Vivo Pedro","Celular","Mensal"," -","38,44","CCorrente Santander","Pago"
"17/02/2022","Vivo Priscilla","Celular","Mensal"," -","38,44","CCorrente Santander","Pago"
"18/02/2022","CVC Corp ","Salário","Mensal","1337,76"," -","CCorrente Santander","Pago"
"21/02/2022","Santander","Juros"," -"," -","57,56","CCorrente Santander","Pago"
"21/02/2022","Seguro","Santander","10/12"," -","108,26","CCorrente Santander","Pago"
"21/02/2022","Banco Original","Dívidas","2/24"," -","584,86","CCorrente Santander","Pago"
"22/02/2022","Mercadinho","Alimentação"," -"," -","2,38","CCorrente Santander","Pago"
"23/02/2022","Wester União","Jade"," -"," -","351,33","CCorrente Santander","Pago"
"24/02/2022","Correios ","Clé Concept"," -"," -","80,2","CCorrente Santander","Pago"
"25/02/2022","Mrs Fly Viagens","Mrs. Fly Viagens"," -","500"," -","CCorrente Santander","Pago"
"02/03/2022","IOF","Impostos","Mensal"," -","13,29","CCorrente Santander","Pago"
"02/03/2022","IOF","Impostos","Mensal"," -","1,34","CCorrente Santander","Pago"
"02/03/2022","Instagran","Sítio Boa vista"," -"," -","40,7","CCorrente Santander","Pago"
"02/03/2022","Instagran","Sítio Boa vista"," -"," -","25,16","CCorrente Santander","Pago"
"02/03/2022","Ronaldo","Diversos"," -"," -","300","CCorrente Santander","Pago"
"04/03/2022","Nildete ","Clé Concept"," -"," -","380","CCorrente Santander","Pago"
"04/03/2022","CVC Corp ","Salário"," -","3394,26"," -","CCorrente Santander","Pago"
"04/03/2022","Santander	","Dívidas","12/45","","602","CCorrente Santander","Pago"
"04/03/2022","Muller Eletico ","Reforma","10/10"," -","122,9","CCredito Nubank","Pago"
"04/03/2022","Tok Stok","Reforma","9/10"," -","65","CCredito Nubank","Pago"
"04/03/2022","Amazon","Eletrodomésticos","9/10"," -","33,03","CCredito Nubank","Pago"
"04/03/2022","Oticas Diniz","Cuidados Pessoais","7/10"," -","113","CCredito Nubank","Pago"
"04/03/2022","Spotfy","Assinatura","Mensal"," -","19,9","CCredito Nubank","Pago"
"04/03/2022","Globo Play","Assinatura","Mensal"," -","22,9","CCredito Nubank","Pago"
"04/03/2022","Google","Assinatura","Mensal"," -","6,99","CCredito Nubank","Pago"
"04/03/2022","Help","Vestuário","4/4"," -","97,42","CCredito Nubank","Pago"
"04/03/2022","Celular Ruy","Presente","3/6"," -","111,5","CCredito Nubank","Pago"
"04/03/2022","Insider","Vestuário","3/3"," -","91","CCredito Nubank","Pago"
"04/03/2022","Loja ","vestuário","2/3"," -","63,78","CCredito Nubank","Pago"
"04/03/2022","Farmácia","Saúde"," -"," -","43,97","CCredito Nubank","Pago"
"04/03/2022","Hamilton Andrade","Cuidados Pessoais"," -"," -","238","CCredito Nubank","Pago"
"04/03/2022","Farmácia","Saúde","1/2"," -","43,42","CCredito Nubank","Pago"
"04/03/2022","Carone","Alimentação"," -"," -","55,12","CCredito Nubank","Pago"
"04/03/2022","99 taxi","Transporte"," -"," -","25,35","CCredito Nubank","Pago"
"04/03/2022","99 taxi","Transporte"," -"," -","32,32","CCredito Nubank","Pago"
"04/03/2022","Monte libano","Alimentação"," -"," -","4,6","CCredito Nubank","Pago"
"04/03/2022","Mania do lar","Cama/Mesa/banho"," -"," -","13,98","CCredito Nubank","Pago"
"04/03/2022","Dra Rose","Saúde"," -"," -","200","CCredito Nubank","Pago"
"04/03/2022","Banca ","outros"," -"," -","20","CCredito Nubank","Pago"
"04/03/2022","99 taxi","Transporte"," -"," -","45,65","CCredito Nubank","Pago"
"07/03/2022","Pedro","Air Bnb"," - ","800"," -","CCorrente Santander","Pago"
"10/03/2022","Vivo Fibra","Assinatura","Mensal"," -","56,6","CCorrente Santander","Pago"
"10/03/2022","Viva Fibra","Air BNB","Mensal"," -","56,6","CCorrente Santander","Pago"
"10/03/2022","Escelsa ","Air BNB","Mensal"," -","185,29","CCorrente Santander","Pago"
"10/03/2022","Escelsa ","Energia","Mensal"," -","185,29","CCorrente Santander","Pago"
"10/03/2022","Air Bnb","Condomínio","Mensal"," -","245,46","CCorrente Santander","Pago"
"10/03/2022","Edf Maison Rio Branco","Air BNB","Mensal"," -","245,46","CCorrente Santander","Pago"
"10/03/2022","Gugu","outros"," -"," -","250","CCorrente Santander","Pago"
"10/03/2022","Aparecida","Faxina"," -"," -","109","CCorrente Santander","Pago"
"11/03/2022","Pedro","Jade"," -","1235"," -","CCorrente Santander","Pago"
"16/03/2022","i-Food","Alimentação"," -"," -","27,99","CCorrente Santander","Pago"
"17/03/2022","Vivo Gabriel","celular","Mensal"," -","50,99","CCorrente Santander","Pago"
"17/03/2022","Vivo Pedro","Celular","Mensal"," -","38,44","CCorrente Santander","Pago"
"17/03/2022","Vivo Priscilla","Celular","Mensal"," -","38,44","CCorrente Santander","Pago"
"17/03/2022","western União","Jade"," -"," -","1204,56","CCorrente Santander","Pago"
"17/03/2022","Pedro","Jade"," -"," -","1130","CCorrente Santander","Pago"
"18/03/2022","CVC Corp ","Salário"," -","1421,89"," -","CCorrente Santander","Pago"
"18/03/2022","Marly Sanglard","Dívidas","15/15"," -","500","CCorrente Santander","Pago"
"21/03/2022","I-Food","Alimentação"," -"," -","144,49","CCorrente Santander","Pago"
"21/03/2022","Gugu","Outros"," -"," -","150","CCorrente Santander","Pago"
"21/03/2022","Banco Original","Dívidas","03/24"," -","584,86","CCorrente Santander","Pago"
"21/03/2022","Santander","Seguro","11/12"," -","108,26","CCorrente Santander","Pago"
"21/03/2022","Santander","juros"," -"," -","23,97","CCorrente Santander","Pago"
"22/03/2022","IPTU","Air BNB","Mensal"," -","103,2","CCorrente Santander","Pago"
"23/03/2022","Aparecida","Faxina"," -"," -","120","CCorrente Santander","Pago"
"28/03/2022","Thiago Mota","Sítio Boa vista","1/2","700"," -","CCorrente Santander","Pago"
"29/03/2022","Nildete ","Clé Concept"," -"," -","45","CCorrente Santander","Pago"
"31/03/2022","Aparecida","Faxina"," -"," -","120","CCorrente Santander","Pago"
"31/03/2022","DARF Tearte 2020",""," -"," -","473,98","CCorrente Santander","Pago"
"04/04/2022","Tok Stok","Reforma","10/10"," -","65","CCredito Nubank","Pago"
"04/04/2022","Amazon","Eletrodomésticos","10/10"," -","33,03","CCredito Nubank","Pago"
"04/04/2022","Spotfy","Assinatura","Mensal"," -","19,9","CCredito Nubank","Pago"
"04/04/2022","Globo Play","Assinatura","Mensal"," -","22,9","CCredito Nubank","Pago"
"04/04/2022","Google","Assinatura","Mensal"," -","6,99","CCredito Nubank","Pago"
"04/04/2022","Celular Ruy","Presente","4/6"," -","111,5","CCredito Nubank","Pago"
"04/04/2022","Loja ","vestuário","3/3"," -","63,78","CCredito Nubank","Pago"
"04/04/2022","Farmácia","Saúde","2/2"," -","43,42","CCredito Nubank","Pago"
"04/04/2022","Insider","Presente","1/2"," -","140","CCredito Nubank","Pago"
"04/04/2022","Carone","Alimentação"," -"," -","7,5","CCredito Nubank","Pago"
"04/04/2022","Estima Dog","Felinos"," -"," -","70","CCredito Nubank","Pago"
"04/04/2022","Madeleine","Alimentação"," -"," -","11","CCredito Nubank","Pago"
"04/04/2022","99 taxi","Transporte"," -"," -","100","CCredito Nubank","Pago"
"04/04/2022","Supermercado","Alimentação"," -"," -","32","CCredito Nubank","Pago"
"04/04/2022","Estima Dog","Felinos"," -"," -","13,6","CCredito Nubank","Pago"
"04/04/2022","Café Bamboo","Alimentação"," -"," -","28,49","CCredito Nubank","Pago"
"04/04/2022","Anuncios","Sítio Boa Vista"," -"," -","30","CCredito Nubank","Pago"
"04/04/2022","Onibus Aracruz","Transporte"," -"," -","53,28","CCredito Nubank","Pago"
"04/04/2022","Restaurante Aracruz","Alimentação"," -"," -","25,5","CCredito Nubank","Pago"
"04/04/2022","Oyo mãe","presente"," -"," -","134,13","CCredito Nubank","Pago"
"04/04/2022","Anuncios","Sítio Boa Vista"," -"," -","14,76","CCredito Nubank","Pago"
"04/04/2022","Oyo Ruy","Presente"," -"," -","114,13","CCredito Nubank","Pago"
"04/04/2022","Estima Dog","Felinos","1/3"," -","84,29","CCredito Nubank","Pago"
"04/04/2022","Banca ","Outros"," -"," -","24","CCredito Nubank","Pago"
"04/04/2022","Supermercado","Alimentação"," -"," -","12","CCredito Nubank","Pago"
"04/04/2022","Kabecos","Alimentação"," -"," -","17","CCredito Nubank","Pago"
